agency_ori,agency_incident_id,location_address,location_address_adjusted,latlng_method,geocoded_location_interpreted,geocoded_location_type,geocoding_imprecise,lat,lng,tract_2010,tract_state_2010,tract_2000,tract_state_2000
MDBPD0000,17V0351,1700 SHERWOOD AV,"1700 SHERWOOD AV, Baltimore, Maryland, USA",geocoded,"1700 Sherwood Ave, Baltimore, MD 21239, USA",premise,False,39.3604239,-76.5809905,24510270803.0,MD,24510270803.0,MD
MDBPD0000,17H0198,1200 GREENMOUNT AV,"1200 GREENMOUNT AV, Baltimore, Maryland, USA",geocoded,"1200 Greenmount Ave, Baltimore, MD 21202, USA",street_address,False,39.30367570000001,-76.60801540000001,24510100100.0,MD,24510100400.0,MD
MDBPD0000,17V0349,1700 W LOMBARD ST,"1700 W LOMBARD ST, Baltimore, Maryland, USA",geocoded,"1700 W Lombard St, Baltimore, MD 21223, USA",street_address,False,39.286505,-76.64383199999997,24510190300.0,MD,24510190300.0,MD
MDBPD0000,17V0348,1300 WOODBOURNE AV,"1300 WOODBOURNE AV, Baltimore, Maryland, USA",geocoded,"1300 Woodbourne Ave, Baltimore, MD 21239, USA",street_address,False,39.354394899999996,-76.593172,24510270802.0,MD,24510270802.0,MD
MDBPD0000,17V0346,3600 HAYWARD AV,"3600 HAYWARD AV, Baltimore, Maryland, USA",geocoded,"3600 Hayward Ave, Baltimore, MD 21215, USA",street_address,False,39.348306,-76.681842,24510271801.0,MD,24510271801.0,MD
MDBPD0000,17V0345,3200 LYNDALE AV,"3200 LYNDALE AV, Baltimore, Maryland, USA",geocoded,"3200 Lyndale Ave, Baltimore, MD 21213, USA",street_address,False,39.31661,-76.578385,24510080102.0,MD,24510080102.0,MD
MDBPD0000,17V0347,1200 DRUID HILL AV,"1200 DRUID HILL AV, Baltimore, Maryland, USA",geocoded,"1200 Druid Hill Ave, Baltimore, MD 21217, USA",premise,False,39.30115410000001,-76.6278071,24510170200.0,MD,24510170200.0,MD
MDBPD0000,17V0343,1100 HARFORD AV,"1100 HARFORD AV, Baltimore, Maryland, USA",geocoded,"1100 Harford Ave, Baltimore, MD 21202, USA",premise,False,39.303208500000004,-76.6026954,24510100100.0,MD,24510100100.0,MD
MDBPD0000,17V0344,3800 BONVIEW AV,"3800 BONVIEW AV, Baltimore, Maryland, USA",geocoded,"3800 Bonview Ave, Baltimore, MD 21213, USA",street_address,False,39.315167100000004,-76.56363259999998,24510260302.0,MD,24510260302.0,MD
MDBPD0000,17V0341,2100 FREDERICK AV,"2100 FREDERICK AV, Baltimore, Maryland, USA",geocoded,"2100 Frederick Ave, Baltimore, MD 21223, USA",street_address,False,39.285872999999995,-76.650125,24510200400.0,MD,24510200400.0,MD
MDBPD0000,17V0340,2558 ARUNAH AV,"2558 ARUNAH AV, Baltimore, Maryland, USA",geocoded,"2558 Arunah Ave, Baltimore, MD 21216, USA",street_address,False,39.2956,-76.65903800000002,24510160500.0,MD,24510160500.0,MD
MDBPD0000,17V0342,2100 HOLLINS ST,"2100 HOLLINS ST, Baltimore, Maryland, USA",geocoded,"2100 Hollins St, Baltimore, MD 21223, USA",premise,False,39.2871662,-76.6501717,24510200400.0,MD,24510200400.0,MD
MDBPD0000,17V0338,2400 ETTING ST,"2400 ETTING ST, Baltimore, Maryland, USA",geocoded,"2400 Etting St, Baltimore, MD 21217, USA",street_address,False,39.31092659999999,-76.6408007,24510130300.0,MD,24510130300.0,MD
