CASE_NUMBER,CASE_DATE,CASE_ADDRESS,CASE_STATUS,DESCRIPTION,VICT_TYPE,vict_type_generic,case_vict_type_generic,weapon_inferred,name_is_vague,null_dob,age_at_case,RACE,SEX,person_uid_is_custom_match,person_uid
12V0001,2012-01-01,500 OAKLAND AV,OPEN,VICTIM,NON FATAL SHOOTING,NON FATAL SHOOTING,NON FATAL SHOOTING,Firearm,0,0,13,BLACK,MALE,0,41b10e399d
12H0001,2012-01-03,4000 EDGEWOOD RD,OPEN,VICTIM,HOMICIDE SHOOTING,HOMICIDE,HOMICIDE,Firearm,0,0,62,BLACK,MALE,0,031694ec35
12V0002,2012-01-03,2300 OREM AV,CLOSED,SUSPECT,,,NON FATAL SHOOTING,Firearm,0,0,15,BLACK,MALE,0,c879b0a6cf
12V0002,2012-01-03,2300 OREM AV,CLOSED,SUSPECT,,,NON FATAL SHOOTING,Firearm,0,0,15,BLACK,MALE,0,eaa8feed13
12V0002,2012-01-03,2300 OREM AV,CLOSED,VICTIM,NON FATAL SHOOTING,NON FATAL SHOOTING,NON FATAL SHOOTING,Firearm,0,0,62,BLACK,MALE,0,92f7c6f0fc
12V0003,2012-01-05,2601 FREDERICK AV,OPEN,VICTIM,NON FATAL SHOOTING,NON FATAL SHOOTING,NON FATAL SHOOTING,Firearm,0,0,23,BLACK,MALE,0,a671e6bb53
12H0004,2012-01-06,800 N MONTFORD AV,OPEN,PERSON OF INTEREST,,,HOMICIDE,Firearm,1,0,23,BLACK,MALE,0,484bec1aad
12H0004,2012-01-06,800 N MONTFORD AV,OPEN,SUSPECT,,,HOMICIDE,Firearm,1,1,,BLACK,MALE,0,e0b25b0c02
12H0004,2012-01-06,800 N MONTFORD AV,OPEN,VICTIM,HOMICIDE SHOOTING,HOMICIDE,HOMICIDE,Firearm,0,0,27,BLACK,MALE,0,bf0a3046f8
12V0004,2012-01-06,5705 CHINQUAPIN PKWY,CLOSED,SUSPECT,,,NON FATAL SHOOTING,Firearm,0,0,24,BLACK,MALE,0,bcccebaf16
12V0004,2012-01-06,5705 CHINQUAPIN PKWY,CLOSED,VICTIM,NON FATAL SHOOTING,NON FATAL SHOOTING,NON FATAL SHOOTING,Firearm,0,0,29,BLACK,MALE,0,c336cf9377
12V0005,2012-01-07,1900 N FULTON AV,CLOSED,SUSPECT,,,NON FATAL SHOOTING,Firearm,0,0,24,BLACK,MALE,0,3805343c2d
12V0005,2012-01-07,1900 N FULTON AV,CLOSED,SUSPECT,,,NON FATAL SHOOTING,Firearm,0,0,18,BLACK,MALE,0,3bf57dcf25
12V0005,2012-01-07,1900 N FULTON AV,CLOSED,VICTIM,NON FATAL SHOOTING,NON FATAL SHOOTING,NON FATAL SHOOTING,Firearm,0,0,32,BLACK,MALE,0,5e00ffbeb5
12V0006,2012-01-07,1900 N COLLINGTON AV,CLOSED,SUSPECT,,,NON FATAL SHOOTING,Firearm,0,0,33,BLACK,MALE,0,69988a89ff
12V0006,2012-01-07,1900 N COLLINGTON AV,CLOSED,VICTIM,NON FATAL SHOOTING,NON FATAL SHOOTING,NON FATAL SHOOTING,Firearm,0,0,25,BLACK,MALE,1,60f7f59b35
12V0007,2012-01-07,2802 WINWOOD CT,CLOSED,SUSPECT,,,NON FATAL SHOOTING,Firearm,0,0,29,BLACK,MALE,0,d1e2e12ed9
12V0007,2012-01-07,2802 WINWOOD CT,CLOSED,VICTIM,NON FATAL SHOOTING,NON FATAL SHOOTING,NON FATAL SHOOTING,Firearm,0,0,20,BLACK,MALE,0,4c9fa29598
12H0005,2012-01-08,4117 MARIBAN CT,OPEN,VICTIM,HOMICIDE SHOOTING,HOMICIDE,HOMICIDE,Firearm,0,0,35,BLACK,MALE,0,e6335c2f9e
12V0008,2012-01-09,2204 PINEWOOD AV,OPEN,VICTIM,NON FATAL SHOOTING,NON FATAL SHOOTING,NON FATAL SHOOTING,Firearm,0,0,21,BLACK,FEMALE,0,b6f4eacb48
12V0009,2012-01-10,300 N STRICKER ST,CLOSED,SUSPECT,,,NON FATAL SHOOTING,Firearm,0,0,27,BLACK,MALE,0,c47907e1d1
12V0009,2012-01-10,300 N STRICKER ST,CLOSED,VICTIM,NON FATAL SHOOTING,NON FATAL SHOOTING,NON FATAL SHOOTING,Firearm,0,0,22,BLACK,MALE,1,3b75669caf
12V0010,2012-01-10,3300 ROUND RD,CLOSED,SUSPECT,,,NON FATAL SHOOTING,Firearm,0,0,35,BLACK,MALE,0,eb1b3c94eb
12V0010,2012-01-10,3300 ROUND RD,CLOSED,VICTIM,NON FATAL SHOOTING,NON FATAL SHOOTING,NON FATAL SHOOTING,Firearm,0,0,28,BLACK,MALE,0,71885e755e
12V0011,2012-01-11,900 WALNUT AV,OPEN,VICTIM,NON FATAL SHOOTING,NON FATAL SHOOTING,NON FATAL SHOOTING,Firearm,0,0,22,BLACK,MALE,0,976804691e
12V0012,2012-01-11,4711 LIBERTY HEIGHTS AV,CLOSED,SUSPECT,,,NON FATAL SHOOTING,Firearm,0,0,18,BLACK,MALE,0,a2c3bf2834
12V0012,2012-01-11,4711 LIBERTY HEIGHTS AV,CLOSED,VICTIM,NON FATAL SHOOTING,NON FATAL SHOOTING,NON FATAL SHOOTING,Firearm,0,0,23,BLACK,MALE,0,5a992311f9
12H0006,2012-01-12,500 EDGEWOOD ST,OPEN,VICTIM,HOMICIDE SHOOTING,HOMICIDE,HOMICIDE,Firearm,0,0,30,BLACK,MALE,0,ab4e28553b
12V0013,2012-01-16,3000 BRIGHTON ST,CLOSED,SUSPECT,,,NON FATAL SHOOTING,Firearm,0,0,32,BLACK,MALE,0,fa2c8ac6c9
12V0013,2012-01-16,3000 BRIGHTON ST,CLOSED,VICTIM,NON FATAL SHOOTING,NON FATAL SHOOTING,NON FATAL SHOOTING,Firearm,0,0,29,BLACK,MALE,0,b98debe47b
